cod;nome;período;valor
53;DF;1980;2.16
14;RR;1980;5.27
15;PA;1980;1.67
16;AP;1980;0
17;TO;1980;0
21;MA;1980;0.5
22;PI;1980;0.64
23;CE;1980;1.14
24;RN;1980;0.72
25;PB;1980;2.3
26;PE;1980;3.78
27;AL;1980;2.97
28;SE;1980;2.06
29;BA;1980;0.88
31;MG;1980;1.97
32;ES;1980;3.59
33;RJ;1980;3.64
35;SP;1980;2.78
41;PR;1980;2.3
42;SC;1980;1.28
43;RS;1980;1.5
50;MS;1980;2.71
51;MT;1980;0.73
52;GO;1980;3.48
13;AM;1980;2.97
12;AC;1980;1.37
11;RO;1980;5.18
43;RS;1981;1.56
11;RO;1981;3.5
12;AC;1981;0.66
13;AM;1981;1.91
14;RR;1981;7.23
15;PA;1981;2.7
16;AP;1981;4.36
17;TO;1981;0
21;MA;1981;0.59
22;PI;1981;0.54
23;CE;1981;1.49
24;RN;1981;1.82
25;PB;1981;2.96
26;PE;1981;4.01
27;AL;1981;4.26
28;SE;1981;1.34
29;BA;1981;0.74
31;MG;1981;2.38
32;ES;1981;4.09
33;RJ;1981;2.9
35;SP;1981;3.07
41;PR;1981;2.44
42;SC;1981;1.31
50;MS;1981;3.97
51;MT;1981;1.21
52;GO;1981;4.71
53;DF;1981;3.22
53;DF;1982;2.18
11;RO;1982;5.94
12;AC;1982;3.2
15;PA;1982;1.99
16;AP;1982;2.06
17;TO;1982;0
13;AM;1982;2.62
21;MA;1982;0.38
22;PI;1982;1.24
23;CE;1982;1.35
24;RN;1982;1.77
25;PB;1982;2.58
26;PE;1982;3.8
27;AL;1982;3.31
28;SE;1982;2.28
29;BA;1982;1.6
31;MG;1982;2.25
32;ES;1982;3.03
33;RJ;1982;2.87
35;SP;1982;3.03
41;PR;1982;2.59
42;SC;1982;1.6
43;RS;1982;1.73
14;RR;1982;4.24
50;MS;1982;3.14
51;MT;1982;0.65
52;GO;1982;3.41
33;RJ;1983;2.7
11;RO;1983;4.43
12;AC;1983;2.47
13;AM;1983;1.51
14;RR;1983;3.78
15;PA;1983;2.87
16;AP;1983;3.9
17;TO;1983;0
21;MA;1983;0.84
22;PI;1983;1.3
23;CE;1983;1.68
24;RN;1983;1.63
25;PB;1983;2.74
26;PE;1983;4.71
27;AL;1983;4.8
28;SE;1983;2.86
29;BA;1983;0.84
31;MG;1983;1.97
32;ES;1983;3.51
35;SP;1983;3.94
41;PR;1983;2.77
42;SC;1983;2.39
43;RS;1983;1.34
50;MS;1983;3.88
51;MT;1983;1.37
52;GO;1983;3.92
53;DF;1983;3.46
33;RJ;1984;2.94
35;SP;1984;4.15
41;PR;1984;2.86
42;SC;1984;1.73
43;RS;1984;1.63
50;MS;1984;4.45
51;MT;1984;2.14
52;GO;1984;3.41
53;DF;1984;2.77
11;RO;1984;3.18
12;AC;1984;2.38
13;AM;1984;2.54
14;RR;1984;3.41
15;PA;1984;2.04
16;AP;1984;3.71
17;TO;1984;0
21;MA;1984;0.69
22;PI;1984;0.77
23;CE;1984;1.37
24;RN;1984;0.66
25;PB;1984;2.25
26;PE;1984;3.96
27;AL;1984;3.96
28;SE;1984;1.08
29;BA;1984;1.05
31;MG;1984;2.45
32;ES;1984;4.05
22;PI;1985;0.59
21;MA;1985;0.54
17;TO;1985;0
16;AP;1985;3.54
15;PA;1985;1.68
14;RR;1985;3.11
13;AM;1985;1.98
12;AC;1985;1.15
11;RO;1985;6.93
53;DF;1985;2.97
52;GO;1985;3.83
51;MT;1985;3.24
50;MS;1985;2.23
43;RS;1985;1.72
42;SC;1985;1.74
41;PR;1985;2.58
35;SP;1985;3.85
33;RJ;1985;3.15
32;ES;1985;3.69
31;MG;1985;2.23
29;BA;1985;1.11
28;SE;1985;1.81
27;AL;1985;5.11
26;PE;1985;4.84
25;PB;1985;2.48
24;RN;1985;0.73
23;CE;1985;1.38
32;ES;1986;5.4
35;SP;1986;3.76
41;PR;1986;2.31
42;SC;1986;0.73
43;RS;1986;1.6
50;MS;1986;3.7
51;MT;1986;4.48
52;GO;1986;3.57
53;DF;1986;4.25
11;RO;1986;6.43
12;AC;1986;3.35
13;AM;1986;1.24
14;RR;1986;2.86
15;PA;1986;2.57
16;AP;1986;3.38
17;TO;1986;0
21;MA;1986;0.49
22;PI;1986;0.9
23;CE;1986;1.75
24;RN;1986;0.63
25;PB;1986;3.79
26;PE;1986;4.81
27;AL;1986;3.7
28;SE;1986;1.18
29;BA;1986;1.14
31;MG;1986;1.96
33;RJ;1986;3.04
22;PI;1987;0.48
21;MA;1987;0.69
17;TO;1987;0
16;AP;1987;4.04
15;PA;1987;2.03
14;RR;1987;2.65
13;AM;1987;1.74
12;AC;1987;5.96
11;RO;1987;6.7
35;SP;1987;4
53;DF;1987;4.4
52;GO;1987;4.47
51;MT;1987;3.65
50;MS;1987;3.61
43;RS;1987;1.85
33;RJ;1987;3.62
42;SC;1987;1.91
41;PR;1987;2.85
32;ES;1987;4.35
31;MG;1987;1.87
29;BA;1987;1.49
28;SE;1987;1
27;AL;1987;3.96
26;PE;1987;4
25;PB;1987;3.62
24;RN;1987;1.05
23;CE;1987;1.3
14;RR;1988;8.65
53;DF;1988;3.89
52;GO;1988;4.85
51;MT;1988;3.37
50;MS;1988;3.16
43;RS;1988;2.38
42;SC;1988;2.15
41;PR;1988;2.62
35;SP;1988;3.88
11;RO;1988;8.89
12;AC;1988;3.16
13;AM;1988;2.42
15;PA;1988;2.1
16;AP;1988;0
17;TO;1988;0
21;MA;1988;0.98
22;PI;1988;1.59
23;CE;1988;1.09
33;RJ;1988;3.24
24;RN;1988;1.29
25;PB;1988;3.01
26;PE;1988;4.54
27;AL;1988;5.04
28;SE;1988;0.7
29;BA;1988;1.51
31;MG;1988;1.95
32;ES;1988;6.14
11;RO;1989;9.62
52;GO;1989;4.75
51;MT;1989;3.45
50;MS;1989;4.64
43;RS;1989;3.15
42;SC;1989;1.79
41;PR;1989;2.53
35;SP;1989;4.37
33;RJ;1989;4.7
32;ES;1989;6.01
31;MG;1989;2.18
53;DF;1989;2.91
29;BA;1989;1.38
28;SE;1989;2.06
27;AL;1989;5.34
26;PE;1989;4.82
25;PB;1989;3.22
24;RN;1989;1.18
23;CE;1989;1.48
22;PI;1989;1.33
21;MA;1989;1.17
17;TO;1989;3.23
16;AP;1989;2.24
15;PA;1989;2.21
14;RR;1989;13.91
13;AM;1989;3.16
12;AC;1989;3.07
16;AP;1990;3.61
13;AM;1990;3.07
14;RR;1990;21.87
15;PA;1990;3.29
17;TO;1990;1.59
21;MA;1990;1.31
22;PI;1990;0.39
23;CE;1990;1.4
24;RN;1990;1.65
25;PB;1990;2.51
26;PE;1990;6.02
27;AL;1990;4.37
28;SE;1990;1.75
29;BA;1990;1.31
31;MG;1990;1.89
32;ES;1990;6.91
33;RJ;1990;7.29
35;SP;1990;4.34
41;PR;1990;2.98
42;SC;1990;2.07
43;RS;1990;3.43
50;MS;1990;4.65
51;MT;1990;4.17
52;GO;1990;2.96
53;DF;1990;4.94
11;RO;1990;7.18
12;AC;1990;3
53;DF;1991;6.25
17;TO;1991;2
16;AP;1991;3.47
15;PA;1991;2.94
14;RR;1991;9.24
13;AM;1991;1.73
12;AC;1991;4.37
11;RO;1991;6.04
22;PI;1991;0.83
23;CE;1991;1.62
21;MA;1991;2.17
24;RN;1991;1.37
25;PB;1991;2.42
26;PE;1991;6.3
27;AL;1991;5.21
28;SE;1991;2.76
29;BA;1991;1.06
31;MG;1991;2
32;ES;1991;7.29
33;RJ;1991;5.58
35;SP;1991;4.94
41;PR;1991;3.51
42;SC;1991;1.68
43;RS;1991;3.36
50;MS;1991;5.33
51;MT;1991;5.01
52;GO;1991;5.49
43;RS;1992;3.43
11;RO;1992;6.27
12;AC;1992;6.13
13;AM;1992;2.43
14;RR;1992;8.87
15;PA;1992;2.24
16;AP;1992;2.63
17;TO;1992;1.09
21;MA;1992;1.2
22;PI;1992;0.75
23;CE;1992;1.27
24;RN;1992;1.2
25;PB;1992;2.16
26;PE;1992;4.61
27;AL;1992;4.09
28;SE;1992;3.62
29;BA;1992;1.3
31;MG;1992;1.92
32;ES;1992;6.43
33;RJ;1992;4.77
35;SP;1992;3.97
41;PR;1992;2.7
42;SC;1992;2.18
50;MS;1992;6.47
51;MT;1992;3.51
52;GO;1992;6.1
53;DF;1992;4.69
52;GO;1993;4.62
11;RO;1993;9.19
12;AC;1993;5.56
13;AM;1993;3
14;RR;1993;3.71
15;PA;1993;1.78
16;AP;1993;3.25
17;TO;1993;2.54
21;MA;1993;1.29
22;PI;1993;0.96
23;CE;1993;1.81
24;RN;1993;1.64
25;PB;1993;1.54
26;PE;1993;5.78
27;AL;1993;3.75
28;SE;1993;3.16
29;BA;1993;1.93
31;MG;1993;2.22
32;ES;1993;7.47
33;RJ;1993;5.63
35;SP;1993;4.39
41;PR;1993;3.2
42;SC;1993;1.45
53;DF;1993;5.63
43;RS;1993;2.37
50;MS;1993;4.26
51;MT;1993;2.97
26;PE;1994;5.01
11;RO;1994;5.94
12;AC;1994;4.99
13;AM;1994;2.4
14;RR;1994;5.33
15;PA;1994;2.23
16;AP;1994;10.11
17;TO;1994;2.69
21;MA;1994;0.92
22;PI;1994;0.73
23;CE;1994;1.73
24;RN;1994;1.46
25;PB;1994;1.64
27;AL;1994;3.55
28;SE;1994;3.97
29;BA;1994;2.85
31;MG;1994;2.06
32;ES;1994;7.86
33;RJ;1994;7.2
35;SP;1994;4.69
41;PR;1994;2.99
42;SC;1994;1.89
43;RS;1994;2.87
50;MS;1994;5.15
51;MT;1994;1.85
52;GO;1994;4.4
53;DF;1994;5.64
12;AC;1995;7.12
42;SC;1995;1.99
41;PR;1995;3.73
35;SP;1995;5.63
33;RJ;1995;8.53
32;ES;1995;8.81
31;MG;1995;1.74
29;BA;1995;2.58
28;SE;1995;3.3
27;AL;1995;4.51
26;PE;1995;5.33
25;PB;1995;3.82
24;RN;1995;2.27
23;CE;1995;1.59
22;PI;1995;1.36
21;MA;1995;1.52
17;TO;1995;1.02
16;AP;1995;6.77
15;PA;1995;2.18
14;RR;1995;6.82
43;RS;1995;3.1
50;MS;1995;5.38
51;MT;1995;5.91
52;GO;1995;6
53;DF;1995;6.31
13;AM;1995;3.65
11;RO;1995;5.73
15;PA;1996;2.87
53;DF;1996;5.49
52;GO;1996;5.27
51;MT;1996;8.04
50;MS;1996;8.24
43;RS;1996;3.92
42;SC;1996;2.75
41;PR;1996;3.4
35;SP;1996;5.54
33;RJ;1996;9.36
32;ES;1996;8.73
31;MG;1996;2.2
29;BA;1996;2.77
28;SE;1996;3.62
27;AL;1996;5.19
26;PE;1996;6.4
25;PB;1996;6.21
24;RN;1996;2.67
23;CE;1996;2.41
22;PI;1996;1.03
21;MA;1996;1.18
17;TO;1996;4.11
16;AP;1996;8.49
14;RR;1996;15.03
13;AM;1996;2.78
12;AC;1996;6.27
11;RO;1996;7.22
41;PR;1997;3.41
33;RJ;1997;9.18
32;ES;1997;8.92
31;MG;1997;2.1
29;BA;1997;2.72
28;SE;1997;2.13
27;AL;1997;4.55
26;PE;1997;6.29
25;PB;1997;2.44
24;RN;1997;2.03
23;CE;1997;2.39
22;PI;1997;0.95
21;MA;1997;1.73
17;TO;1997;3.6
16;AP;1997;6.01
15;PA;1997;2.73
14;RR;1997;8.11
13;AM;1997;2.69
12;AC;1997;5.66
11;RO;1997;5.43
50;MS;1997;7.26
51;MT;1997;7.95
42;SC;1997;2.06
52;GO;1997;4.05
35;SP;1997;5.83
53;DF;1997;4.91
43;RS;1997;3.83
35;SP;1998;5.78
53;DF;1998;5.4
52;GO;1998;3.2
51;MT;1998;8.25
50;MS;1998;7.35
