Idade;Faixa;Genero;Etnia;PCD;Estado;UF
39;35-39;Masculino;Parda;Não;Distrito Federal (DF);DF
32;30-34;Masculino;Parda;Não;Pará (PA);PA
53;50-54;Masculino;Branca;Não;Distrito Federal (DF);DF
27;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
46;45-49;Feminino;Branca;Não;Pará (PA);PA
32;30-34;Feminino;Parda;Não;Ceará (CE);CE
21;17-21;Masculino;Parda;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
;55+;Feminino;Parda;Não;Bahia (BA);BA
25;25-29;Feminino;Parda;Não;Rio de Janeiro (RJ);RJ
33;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Amarela;Não;Mato Grosso do Sul (MS);MS
35;35-39;Feminino;Parda;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Parda;Não;Paraíba (PB);PB
29;25-29;Masculino;Branca;Não;Mato Grosso (MT);MT
28;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;Paraná (PR);PR
46;45-49;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
34;30-34;Masculino;Parda;Não;São Paulo (SP);SP
27;25-29;Feminino;Parda;Não;Minas Gerais (MG);MG
25;25-29;Feminino;Parda;Não;São Paulo (SP);SP
27;25-29;Feminino;Preta;Não;Espírito Santo (ES);ES
24;22-24;Feminino;Parda;Não;Minas Gerais (MG);MG
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
27;25-29;Masculino;Parda;Não;Paraná (PR);PR
29;25-29;Masculino;Preta;Não;Minas Gerais (MG);MG
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Feminino;Branca;Não;Distrito Federal (DF);DF
25;25-29;Masculino;Branca;Não;Paraná (PR);PR
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
31;30-34;Masculino;Preta;Não;Rio Grande do Sul (RS);RS
32;30-34;Masculino;Parda;Não;Bahia (BA);BA
40;40-44;Feminino;Parda;Não;Bahia (BA);BA
29;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
35;35-39;Masculino;Parda;Não;Rio Grande do Sul (RS);RS
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
18;17-21;Masculino;Parda;Não;Paraná (PR);PR
29;25-29;Masculino;Branca;Não;Distrito Federal (DF);DF
24;22-24;Masculino;Preta;Não;São Paulo (SP);SP
24;22-24;Masculino;Prefiro não informar;Não;Rio de Janeiro (RJ);RJ
46;45-49;Masculino;Branca;Não;Paraná (PR);PR
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
30;30-34;Feminino;Branca;Não;Paraíba (PB);PB
37;35-39;Feminino;Branca;Não;;
28;25-29;Masculino;Branca;Não;Mato Grosso do Sul (MS);MS
40;40-44;Masculino;Branca;Não;Paraíba (PB);PB
28;25-29;Masculino;Parda;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Feminino;Parda;Não;Distrito Federal (DF);DF
33;30-34;Masculino;Prefiro não informar;Não;Ceará (CE);CE
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Preta;Não;Minas Gerais (MG);MG
31;30-34;Masculino;Branca;Não;Paraná (PR);PR
30;30-34;Feminino;Parda;Não;São Paulo (SP);SP
39;35-39;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
39;35-39;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
31;30-34;Masculino;Parda;Não;Minas Gerais (MG);MG
;55+;Masculino;Preta;Não;Minas Gerais (MG);MG
38;35-39;Masculino;Parda;Não;Minas Gerais (MG);MG
48;45-49;Masculino;Parda;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
27;25-29;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
26;25-29;Feminino;Branca;Sim;São Paulo (SP);SP
33;30-34;Masculino;Parda;Não;Mato Grosso (MT);MT
